AREALAND,BASENAME,GEOID,POP100,percent_poverty,medianHouseholdIncome,percent_white,percent_POC,Uproduct,mean_expected_waitTime,mean_expected_waitTime_surge,mean_surge_multiplier,proportion,popDensity,percent_POC_zscore,percent_poverty_zscore,medianHouseholdIncome_zscore,proportion_zscore,mean_expected_waitTime_zscore,popDensity_zscore
4686643,15.0,11001001500,5911,2.5913621262458473,200404.0,78.78056628056628,17.052767052767052,uberX,355.63728390824195,422.20006881062017,1.497543624161078,9.7108590310397,0.0012612439223555112,-1.2248686919732883,-1.1532306559137007,3.0792766056406924,-1.0170337045919497,1.247276403206159,-1.137981052920263
2665665,16.0,11001001600,3957,2.8766455387615797,136875.0,23.375363724539284,73.61784675072744,uberX,303.0614508799216,381.8466584887567,1.5459811616954522,12.380391134361345,0.0014844325899916156,0.4999274191643988,-1.134138966275036,1.531353161528724,-0.6688354908331037,0.43147398569593975,-1.0868285580120414
939294,17.02,11001001702,2644,9.396200814111262,89926.0,41.17647058823529,50.15126050420168,uberX,284.907717467487,360.6004618937644,1.5089299461124004,10.11603457674636,0.0028148801120841823,-0.21562141265567203,-0.6978383597957474,0.38741168948268484,-0.9641849671303249,0.14978829948488578,-0.7819039808804793
1136289,18.03,11001001803,3514,10.025445292620864,47436.0,9.185750636132315,74.19847328244275,uberX,267.66713417484806,352.38601823708206,1.4851063829787303,10.254012778556957,0.003092523116918319,0.5176320240067047,-0.6557281642375454,-0.6478834850095557,-0.9461878944042363,-0.11772832781885964,-0.7182711246897823
601353,18.04,11001001804,4480,13.927927927927927,46505.0,25.233142037302724,58.69799139167863,uberX,254.2495729956595,340.5279755552591,1.499568345323747,10.82540005581014,0.007449867216094374,0.04498757572328597,-0.39456686279155984,-0.6705678768065026,-0.8716594670979935,-0.325924341397515,0.2803863080875802
769306,19.01,11001001901,4016,12.786108918705605,73295.0,13.891081294396212,79.05814259405419,uberX,264.6764774585377,345.63758389261744,1.4990305741983672,10.441485634197617,0.005220289455691233,0.6658142377477526,-0.47097948683922686,-0.017812929180069995,-0.9217350274088838,-0.16413339338947938,-0.23060946174449118
877350,19.02,11001001902,1969,9.95980348369808,89639.0,12.071269487750556,73.05122494432071,uberX,296.2421640659537,369.7459125055236,1.5320061728395087,12.64183963143069,0.0022442582777682796,0.48264984979837566,-0.6601210345843456,0.38041875667309966,-0.6347336721824843,0.32566128909950326,-0.912684502954094
632723,20.01,11001002001,2340,6.8181818181818175,52455.0,28.749999999999996,48.86363636363637,uberX,238.64443751947647,321.6836461126005,1.528632707774801,14.529448426301029,0.0036983008362269114,-0.2548839598334167,-0.8703641232771859,-0.5255924405102251,-0.3885249789693471,-0.5680642470113187,-0.5794332435793969
849779,20.02,11001002002,3813,15.882505848713283,64559.0,22.82243473765831,60.17058671491341,uberX,232.30169253568366,312.9779735682819,1.5451101321585896,17.705327197566493,0.004487048985677452,0.08989030900603402,-0.26376292046223615,-0.2306709815303692,0.02571814397092586,-0.6664825961536281,-0.3986604645401836
600991,21.01,11001002101,5309,18.200946870068385,47740.0,10.257307894276211,68.52791878172589,uberX,251.23799109583692,338.61386138613864,1.5331683168316845,14.199796922596267,0.008833742934586376,0.3447241026697988,-0.10860859152690279,-0.6404763366676954,-0.43152280042655755,-0.3726540963608243,0.5975560658245193
726388,21.02,11001002102,4648,23.023915687069316,51555.0,9.762479871175524,65.41867954911433,uberX,290.4644446179065,370.8437343984024,1.5456814777833272,15.635001170868785,0.006398784120883054,0.24991642688041044,0.21415333486466978,-0.5475214981012587,-0.24432312037559012,0.23601026082433027,0.0394891189723329
415172,22.01,11001002201,3442,8.156606851549755,67117.0,11.857601713062097,78.42612419700214,uberX,248.47846441947564,322.7323743161801,1.5817029632274127,21.85549313358302,0.008290539824458296,0.6465425796996485,-0.780794263198935,-0.16834372673274267,0.5670416080812394,-0.41547279088434863,0.47305962691813025
693964,22.02,11001002202,3087,25.75031525851198,49944.0,6.960907944514502,69.40731399747794,uberX,286.9737763598164,368.80536912751677,1.5551230425055949,17.39164267372189,0.00444835755168856,0.37153883459241505,0.39660899883041545,-0.5867745111892089,-0.015197037663555854,0.1818466757767633,-0.40752813421656475
412610,23.01,11001002301,2974,15.915363385464582,71000.0,23.765716038025143,62.404170499846664,uberX,271.55652648825776,338.47784200385354,1.5897559409120052,24.295857064835765,0.007207774896391265,0.15799728678674385,-0.26156403378875237,-0.0737320260372056,0.8853484607039962,-0.0573778688881157,0.2249012949724719
2010229,23.02,11001002302,2036,32.360570687418935,61458.0,37.04508419337317,59.31558935361216,uberX,272.63813488645013,329.9015175555846,1.6025219084712679,26.54943574432618,0.0010128199324554565,0.06381952237089106,0.838979426077146,-0.3062287677412527,1.179292133375025,-0.040594896651244175,-1.1949172182418886
556234,24.0,11001002400,3618,12.746942615239886,91591.0,26.436244745446054,58.47734703409622,uberX,261.9007490636704,329.1877417435287,1.6170782505206729,26.225031210986266,0.006504456757407854,0.03825963452821092,-0.4736005677617639,0.4279804460260969,1.1369786961611856,-0.20720348480704676,0.06370817569696187
543460,25.01,11001002501,2554,26.588750913075238,35813.0,32.896652110625915,59.31586608442504,uberX,240.7574812967581,307.7054794520548,1.571198630136982,22.75561097256858,0.004699517903801568,0.06382796051386608,0.45271865188649585,-0.9310850809879815,0.6844477345396036,-0.53527682125845,-0.349964823459431
603721,25.02,11001002502,5973,13.99901299555848,65325.0,32.40664582990623,56.09475242638592,uberX,230.80087254596447,293.10179640718565,1.6114371257484994,26.02056715487691,0.009893642924463453,-0.03439101735347524,-0.38980971958025873,-0.21200691695844506,1.1103095959744598,-0.6897703408328434,0.8404739944525442
2112828,26.0,11001002600,2166,3.6744369814302646,129211.0,42.8740623766285,47.09830240821161,uberX,265.8619883040936,330.7187222715173,1.6145814847678137,26.362573099415204,0.0010251662700418585,-0.3087129503949862,-1.080749298486436,1.3446150533313002,1.1549188587119126,-0.14573820004526525,-1.1920875675377887
452924,27.01,11001002701,5233,10.450858328617242,67181.0,72.83342455756248,17.533296843641672,uberX,274.29104767830756,345.38071065989845,1.636735239113,29.112545694952168,0.011553814768040554,-1.2102162611977645,-0.6272587429702398,-0.16678432708182472,1.5136092615957386,-0.014947176513276862,1.220967917709483
486440,27.02,11001002702,5226,7.378309137489325,90658.0,65.56789069171649,26.490179333902645,uberX,247.92838874680308,319.5608884350268,1.6366351799846763,30.35728125242192,0.010743359921059124,-0.9371008308012894,-0.8328793748859122,0.4052473229900588,1.6759653153677836,-0.4240081394985705,1.0352201919282
