,AREALAND,AREAWATER,BASENAME,CENTLAT,CENTLON,COUNTY,FUNCSTAT,GEOID,HU100,INTPTLAT,INTPTLON,LSADC,MTFCC,NAME,OBJECTID,OID,POP100,STATE,TRACT,UR
112,466954,0,99.07,+38.8827718,-076.9388146,001,S,11001009907,1176,+38.8827718,-076.9388146,CT,G5020,Census Tract 99.07,30543,20740331305790,2836,11,009907,U
113,207646,0,42.02,+38.9134023,-077.0430254,001,S,11001004202,1915,+38.9134023,-077.0430254,CT,G5020,Census Tract 42.02,28560,20740331303664,2771,11,004202,U
114,204529,0,42.01,+38.9162076,-077.0388456,001,S,11001004201,2259,+38.9162076,-077.0388456,CT,G5020,Census Tract 42.01,28561,20740331303648,3342,11,004201,U
115,194755,0,40.02,+38.9181186,-077.0437209,001,S,11001004002,1916,+38.9181186,-077.0437209,CT,G5020,Census Tract 40.02,28562,20740331303613,2797,11,004002,U
116,521740,0,44,+38.9170144,-077.0275919,001,S,11001004400,2651,+38.9170144,-077.0275919,CT,G5020,Census Tract 44,28563,20740331303701,4572,11,004400,U
117,293853,0,95.07,+38.9585007,-076.9977582,001,S,11001009507,607,+38.9585007,-076.9977582,CT,G5020,Census Tract 95.07,28564,20740331305417,1489,11,009507,U
118,271210,4697,40.01,+38.9207352,-077.0465415,001,S,11001004001,2489,+38.9208738,-077.0462674,CT,G5020,Census Tract 40.01,28565,20740331303595,3745,11,004001,U
119,1033853,0,95.05,+38.9618906,-077.0051942,001,S,11001009505,1217,+38.9618906,-077.0051942,CT,G5020,Census Tract 95.05,28566,20740331305400,2630,11,009505,U
120,403011,6751,97,+38.8340962,-076.9897521,001,S,11001009700,1307,+38.8354183,-076.9870273,CT,G5020,Census Tract 97,29324,20740331305540,3177,11,009700,U
121,1037014,0,98.07,+38.8292038,-077.0117577,001,S,11001009807,1551,+38.8292038,-077.0117577,CT,G5020,Census Tract 98.07,29325,20740331305613,3072,11,009807,U
122,330203,0,74.03,+38.8484766,-076.9743666,001,S,11001007403,1180,+38.8484766,-076.9743666,CT,G5020,Census Tract 74.03,30544,20740331304317,2859,11,007403,U
123,1542829,477746,68.04,+38.8879167,-076.9712591,001,S,11001006804,13,+38.8863842,-076.9704836,CT,G5020,Census Tract 68.04,30545,20740331304285,3670,11,006804,U
124,531058,0,98.03,+38.8358693,-077.0040833,001,S,11001009803,1416,+38.8358693,-077.0040833,CT,G5020,Census Tract 98.03,29326,20740331305558,2758,11,009803,U
125,518370,0,98.04,+38.8396609,-076.9978352,001,S,11001009804,1071,+38.8396609,-076.9978352,CT,G5020,Census Tract 98.04,29327,20740331305576,2473,11,009804,U
126,1107288,141529,76.01,+38.8714886,-076.9799099,001,S,11001007601,2196,+38.8716327,-076.9798185,CT,G5020,Census Tract 76.01,32600,20740331304583,4355,11,007601,U
127,803422,428336,2.02,+38.9061906,-077.0696135,001,S,11001000202,2143,+38.9063048,-077.0696362,CT,G5020,Census Tract 2.02,32519,20740331302628,5425,11,000202,U
128,940549,3434,5.01,+38.9265831,-077.0517215,001,S,11001000501,2186,+38.9264548,-077.0514340,CT,G5020,Census Tract 5.01,32520,20740331302663,3376,11,000501,U
129,1226618,0,76.03,+38.8591090,-076.9585470,001,S,11001007603,2328,+38.8591090,-076.9585470,CT,G5020,Census Tract 76.03,32604,20740331304597,4044,11,007603,U
130,581506,0,5.02,+38.9283547,-077.0595624,001,S,11001000502,1774,+38.9283547,-077.0595624,CT,G5020,Census Tract 5.02,32523,20740331302682,3189,11,000502,U
131,2931409,144814,8.01,+38.9244245,-077.0908668,001,S,11001000801,3528,+38.9237666,-077.0917339,CT,G5020,Census Tract 8.01,32567,20740331302751,6709,11,000801,U
132,1532717,69,4,+38.9238892,-077.0658960,001,S,11001000400,690,+38.9227989,-077.0649214,CT,G5020,Census Tract 4,32526,20740331302646,1455,11,000400,U
133,548945,0,7.01,+38.9295498,-077.0766614,001,S,11001000701,3275,+38.9295498,-077.0766614,CT,G5020,Census Tract 7.01,32568,20740331302715,4620,11,000701,U
134,339712,0,52.01,+38.9102026,-077.0341232,001,S,11001005201,4548,+38.9102026,-077.0341232,CT,G5020,Census Tract 52.01,32569,20740331302733,6077,11,005201,U
135,499811,0,75.03,+38.8639864,-076.9869813,001,S,11001007503,1000,+38.8639864,-076.9869813,CT,G5020,Census Tract 75.03,32570,20740331304552,2425,11,007503,U
136,796618,0,75.04,+38.8610018,-076.9794090,001,S,11001007504,1215,+38.8610018,-076.9794090,CT,G5020,Census Tract 75.04,32571,20740331304568,2451,11,007504,U
137,1442823,71,6,+38.9362932,-077.0664967,001,S,11001000600,2234,+38.9368114,-077.0675114,CT,G5020,Census Tract 6,32572,20740331302698,4539,11,000600,U
138,1868613,501172,1,+38.9060804,-077.0607837,001,S,11001000100,2999,+38.9060174,-077.0601874,CT,G5020,Census Tract 1,31948,20740331302592,4890,11,000100,U
139,542460,0,2.01,+38.9093321,-077.0748368,001,S,11001000201,2,+38.9093321,-077.0748368,CT,G5020,Census Tract 2.01,31949,20740331302610,3916,11,000201,U
140,688867,0,78.06,+38.9056043,-076.9326866,001,S,11001007806,1102,+38.9056043,-076.9326866,CT,G5020,Census Tract 78.06,31950,20740331302573,2347,11,007806,U
141,376318,58,74.08,+38.8526056,-076.9706838,001,S,11001007408,1239,+38.8526236,-076.9711664,CT,G5020,Census Tract 74.08,31951,20740331304499,3038,11,007408,U
142,615798,0,75.02,+38.8566328,-076.9695450,001,S,11001007502,1898,+38.8566328,-076.9695450,CT,G5020,Census Tract 75.02,32573,20740331304536,4541,11,007502,U
143,604673,0,74.07,+38.8574905,-076.9850809,001,S,11001007407,1203,+38.8574905,-076.9850809,CT,G5020,Census Tract 74.07,31952,20740331304482,2587,11,007407,U
144,397785,0,74.09,+38.8452834,-076.9743268,001,S,11001007409,1507,+38.8452834,-076.9743268,CT,G5020,Census Tract 74.09,32001,20740331304522,3499,11,007409,U
145,2959234,68722,9.01,+38.9381010,-077.1004999,001,S,11001000901,1661,+38.9384363,-077.1004240,CT,G5020,Census Tract 9.01,63552,20740331302786,7175,11,000901,U
146,1855956,323730,9.02,+38.9279685,-077.1075040,001,S,11001000902,862,+38.9285125,-077.1077517,CT,G5020,Census Tract 9.02,63553,20740331302804,2092,11,000902,U
147,2854430,625,13.01,+38.9538391,-077.0545973,001,S,11001001301,2156,+38.9519215,-077.0520508,CT,G5020,Census Tract 13.01,63554,20740331302892,3955,11,001301,U
148,1592752,92,13.02,+38.9411637,-077.0561245,001,S,11001001302,5375,+38.9420430,-077.0556067,CT,G5020,Census Tract 13.02,63555,20740331302909,6857,11,001302,U
149,788162,0,14.01,+38.9653037,-077.0706081,001,S,11001001401,1478,+38.9653037,-077.0706081,CT,G5020,Census Tract 14.01,63582,20740331302925,3078,11,001401,U
